id,x,y
0ap18sugw0m31,-3.49,0.15
0aqec21a2ol31,-3.54,0.18
0ar29qj2mcm31,0.45,-2.12
0arqb023i9m31,-3.55,0.2
0atf1bx912m31,-3.56,0.19
0avozxk0h1m31,-3.61,0.15
0aw02yl2nxl31,-3.57,0.18
0ax0enlqjnl31,-16.58,-0.76
0ax41fm433m31,-3.51,0.23
0az6sp7tdtl31,0.26,4.06
0b0wh3j8yul31,-3.54,0.17
0b0wiv15aol31,-3.55,0.19
0b2a52j9lnl31,1.44,-3.35
0b2hjz5l8tl31,-3.53,0.18
0b36kuu8etl31,-3.53,0.17
0b4kquty4dm31,-3.54,0.2
0b78r2qu9tl31,-3.57,0.19
0b7jxs0jb2m31,-3.54,0.18
0b9t4pip0bm31,-16.43,-0.68
0baueynlmul31,-3.49,0.14
0bb01flrysl31,-3.57,0.19
0bbx18h839m31,-17.38,-0.98
0bcfdj0sytl31,0.71,3.2
0bcwmefws0m31,-3.54,0.19
0bfmgu6o64m31,-3.48,0.24
0bgrf6ioh6m31,-3.58,0.21
0bhae5rzk4m31,-3.57,0.19
0bhjzmml8ol31,-3.52,0.16
0biw7x0auvl31,-3.52,0.2
0bj3plysofm31,-3.56,0.19
0bj9edxptsl31,-3.49,0.15
0bjvmcs3u5m31,0.34,-1.92
0bk69i051ol31,-17.35,-1.57
0bm9uedom4m31,-0.13,-1.03
0bmnbza7w2m31,-3.57,0.19
0bn9hkkts6m31,-3.37,0.03
0boqduq1psl31,-3.54,0.2
0bpodlhdx2m31,-3.46,0.28
0bq25lju0yl31,-3.55,0.19
0bs4wv44zzl31,-3.57,0.19
0bsf6h1yo1m31,-3.49,0.25
0bv7f8gp00m31,-16.71,-0.26
0bvy3rd306m31,-17.19,-0.99
0bw9nucot1m31,-3.55,0.19
0bwboy3h30m31,-17.58,-0.41
0bxna63g92m31,0.41,3.79
0c1bji7wkml31,-16.82,-0.45
0c1buiq7vyl31,-3.55,0.21
0c1t2ch9eol31,-3.55,0.19
0c3fgzktqnl31,0.84,-2.99
0c49ewflz1m31,-1.82,2.11
0c4m2bcgb9m31,-3.57,0.19
0c6g0c7bovl31,-3.51,0.16
0c8e36xmrsl31,-3.56,0.21
0c8shyda3ul31,-3.53,0.21
0c90ky6xzwl31,-3.57,0.19
0c9p9gas97m31,-3.57,0.19
0c9v91sib5m31,-17.44,-0.5
0c9xatoy8tl31,-3.54,0.2
0caercowbdm31,-0.27,3.46
0caxczfdezl31,-3.57,0.19
0cc1nrpe2ol31,-3.52,0.21
0cdjtfkysll31,-17.39,-1.1
0cdn6p2zv0m31,-3.57,0.19
0cf0yevtl1m31,-3.48,0.2
0cfxpdx319m31,-3.5,0.17
0cfzesodz2m31,-17.18,-1.14
0cinozwpsyl31,-3.49,0.23
0cj4yxqa2tl31,-3.47,0.13
0cjqddhif9m31,-3.55,0.2
0ck3bo8s40m31,-3.54,0.18
0ckfhqoi3em31,-3.55,0.19
0ckhkcas0dm31,-3.57,0.19
0cl56nlsc6m31,-3.56,0.2
0cm63ukcyvl31,0.39,-1.24
0cm8f7e2uml31,-3.57,0.19
0cmaw46suul31,-0.13,-1.63
0cmnrd9jmsl31,-3.55,0.19
0cnm6vejx6m31,0.07,-1.03
0cpdtn73rtl31,-3.51,0.19
0cr44p4evsl31,-3.54,0.16
0cui15j3s2m31,-17.95,-0.48
0cz7lpmktnl31,-0.12,-1.12
0d0wq01jull31,-17.2,-1
0d1k73a3yvl31,-3.57,0.19
0d1swuttrtl31,-3.57,0.19
